Days;HealthyRed;HealthyGreen;AttackedRed;AttackedGreen;Agered days at t0;TotalRed;State;Agered days at t0+10
1;0;312;0;2;196;0;1;196
19;0;308;1;1;183;1;0;188
40;22;278;12;2;162;34;0;167
61;30;212;14;1;141;44;0;146
82;50;139;30;1;120;80;0;125
103;90;61;55;0;99;145;0;104
124;2;49;1;1;78;3;0;83
145;4;29;12;2;57;16;0;62
166;4;20;13;8;36;17;0;41
187;0;26;3;6;15;3;0;20
208;0;51;0;6;-6;0;0;-1
229;0;54;2;9;-27;2;0;-22
250;3;32;2;24;-48;5;0;-43
271;0;55;9;6;-69;9;0;-64
292;5;41;10;3;-90;15;0;-85
313;1;42;4;0;-111;5;0;-106
334;8;37;0;2;-132;8;0;-127
355;5;34;3;9;-153;8;0;-148
